school,season,enrollment_9_12,source
Jackson-Reed,2021,2050,DCPS audit SY2021-22 sheet=SY2021-22
Jackson-Reed,2022,2139,DCPS audit SY2022-23 sheet=SY2022-23
Jackson-Reed,2023,1978,DCPS audit SY2023-24 sheet=SY 2023-24
Jackson-Reed,2024,1846,DCPS audit SY2024-25 sheet=SY 2024-25
Jackson-Reed,2025,1708,DCPS audit SY2025-26 sheet=SY 2025-26
KIPP DC College Prep,2017,700,static schools.csv fallback
KIPP DC College Prep,2018,700,static schools.csv fallback
KIPP DC College Prep,2019,700,static schools.csv fallback
KIPP DC College Prep,2021,700,static schools.csv fallback
KIPP DC College Prep,2022,700,static schools.csv fallback
KIPP DC College Prep,2023,700,static schools.csv fallback
KIPP DC College Prep,2024,700,static schools.csv fallback
KIPP DC College Prep,2025,700,static schools.csv fallback
MacArthur,2017,400,static schools.csv fallback
MacArthur,2018,400,static schools.csv fallback
MacArthur,2019,400,static schools.csv fallback
MacArthur,2021,400,static schools.csv fallback
MacArthur,2022,400,static schools.csv fallback
MacArthur,2023,232,DCPS audit SY2023-24 sheet=SY 2023-24
MacArthur,2024,383,DCPS audit SY2024-25 sheet=SY 2024-25
MacArthur,2025,566,DCPS audit SY2025-26 sheet=SY 2025-26
Maret,2017,320,static schools.csv fallback
Maret,2018,320,static schools.csv fallback
Maret,2019,320,static schools.csv fallback
Maret,2021,320,static schools.csv fallback
Maret,2022,320,static schools.csv fallback
Maret,2023,320,static schools.csv fallback
Maret,2024,320,static schools.csv fallback
Maret,2025,320,static schools.csv fallback
McKinley Technology,2017,620,DCPS audit SY2017-18 sheet=Sheet1
McKinley Technology,2018,633,DCPS audit SY2018-19 sheet=Sheet1
McKinley Technology,2019,653,DCPS audit SY2019-20 sheet=Sheet1
McKinley Technology,2021,691,DCPS audit SY2021-22 sheet=SY2021-22
McKinley Technology,2022,696,DCPS audit SY2022-23 sheet=SY2022-23
McKinley Technology,2023,704,DCPS audit SY2023-24 sheet=SY 2023-24
McKinley Technology,2024,723,DCPS audit SY2024-25 sheet=SY 2024-25
McKinley Technology,2025,715,DCPS audit SY2025-26 sheet=SY 2025-26
National Cathedral,2017,490,static schools.csv fallback
National Cathedral,2018,490,static schools.csv fallback
National Cathedral,2019,490,static schools.csv fallback
National Cathedral,2021,490,static schools.csv fallback
National Cathedral,2022,490,static schools.csv fallback
National Cathedral,2023,490,static schools.csv fallback
National Cathedral,2024,490,static schools.csv fallback
National Cathedral,2025,490,static schools.csv fallback
Phelps Career,2017,260,DCPS audit SY2017-18 sheet=Sheet1
Phelps Career,2018,265,DCPS audit SY2018-19 sheet=Sheet1
Phelps Career,2019,257,DCPS audit SY2019-20 sheet=Sheet1
Phelps Career,2021,320,DCPS audit SY2021-22 sheet=SY2021-22
Phelps Career,2022,317,DCPS audit SY2022-23 sheet=SY2022-23
Phelps Career,2023,310,DCPS audit SY2023-24 sheet=SY 2023-24
Phelps Career,2024,350,DCPS audit SY2024-25 sheet=SY 2024-25
Phelps Career,2025,379,DCPS audit SY2025-26 sheet=SY 2025-26
Roosevelt,2017,681,DCPS audit SY2017-18 sheet=Sheet1
Roosevelt,2018,632,DCPS audit SY2018-19 sheet=Sheet1
Roosevelt,2019,756,DCPS audit SY2019-20 sheet=Sheet1
Roosevelt,2021,789,DCPS audit SY2021-22 sheet=SY2021-22
Roosevelt,2022,900,DCPS audit SY2022-23 sheet=SY2022-23
Roosevelt,2023,895,DCPS audit SY2023-24 sheet=SY 2023-24
Roosevelt,2024,923,DCPS audit SY2024-25 sheet=SY 2024-25
Roosevelt,2025,766,DCPS audit SY2025-26 sheet=SY 2025-26
School Without Walls,2017,592,DCPS audit SY2017-18 sheet=Sheet1
School Without Walls,2018,592,DCPS audit SY2018-19 sheet=Sheet1
School Without Walls,2019,591,DCPS audit SY2019-20 sheet=Sheet1
School Without Walls,2021,597,DCPS audit SY2021-22 sheet=SY2021-22
School Without Walls,2022,602,DCPS audit SY2022-23 sheet=SY2022-23
School Without Walls,2023,599,DCPS audit SY2023-24 sheet=SY 2023-24
School Without Walls,2024,606,DCPS audit SY2024-25 sheet=SY 2024-25
School Without Walls,2025,602,DCPS audit SY2025-26 sheet=SY 2025-26
Sidwell Friends,2017,470,static schools.csv fallback
Sidwell Friends,2018,470,static schools.csv fallback
Sidwell Friends,2019,470,static schools.csv fallback
Sidwell Friends,2021,470,static schools.csv fallback
Sidwell Friends,2022,470,static schools.csv fallback
Sidwell Friends,2023,470,static schools.csv fallback
Sidwell Friends,2024,470,static schools.csv fallback
Sidwell Friends,2025,470,static schools.csv fallback
St. Albans,2017,375,static schools.csv fallback
St. Albans,2018,375,static schools.csv fallback
St. Albans,2019,375,static schools.csv fallback
