season,n_finishers,mean_time_sec,sd_time_sec,n_schools
2018,75,1159.6,100.61623460787364,11
2019,73,1159.001917808219,120.63758731437868,19
2021,71,1229.0814084507044,263.33740480578757,17
2022,84,1228.1333333333337,140.85008691558193,16
2023,93,1192.184623655914,185.1096695252306,18
2024,98,1178.2923469387756,214.01113501834155,19
2025,102,1168.5332352941177,167.2693258576306,20
