season,school,state_place,state_score,sex,n_finishers_raw,n_finishers,star_z,depth_z,pack_gap,star_time,depth_time,canonical,sector,wcac,enrollment_9_12,aliases,enrollment_source,log_enrollment,prev_season,lag_gap_years,lag_star_z,lag_depth_z,lag_pack_gap,lag_state_place,lag_state_score,lag_star_time,lag_depth_time,fit_set,holdout,score_source
2021,Jackson-Reed,5,112,F,6,6,-0.5064973563978437,0.48082864370229783,0.9873260001001415,1300.12,1474.32,Jackson-Reed,public,0,2050,Jackson-Reed;Jackson-Reed High School;Woodrow Wilson;Woodrow Wils;Woodrow Wilson High Schoo;Woodrow Wilson High School;Wilson,DCPS audit SY2021-22 sheet=SY2021-22,7.6255950721324535,2019.0,2.0,-1.0933588258976152,-0.3063228951973369,0.7870359307002783,2.0,70.0,1194.92,1374.85,True,False,posted_team_table
2023,Jackson-Reed,7,182,F,6,6,-0.8688257173634669,0.2981008388001887,1.1669265561636557,1233.84,1555.65,Jackson-Reed,public,0,1978,Jackson-Reed;Jackson-Reed High School;Woodrow Wilson;Woodrow Wils;Woodrow Wilson High Schoo;Woodrow Wilson High School;Wilson,DCPS audit SY2023-24 sheet=SY 2023-24,7.589841512182657,2021.0,2.0,-0.5064973563978437,0.48082864370229783,0.9873260001001415,5.0,112.0,1300.12,1474.32,True,False,posted_team_table
2024,Jackson-Reed,8,186,F,12,7,-0.6156498699397186,0.007867721897781175,0.6235175918374998,1184.83,1291.39,Jackson-Reed,public,0,1846,Jackson-Reed;Jackson-Reed High School;Woodrow Wilson;Woodrow Wils;Woodrow Wilson High Schoo;Woodrow Wilson High School;Wilson,DCPS audit SY2024-25 sheet=SY 2024-25,7.520776415062797,2023.0,1.0,-0.8688257173634669,0.2981008388001887,1.1669265561636557,7.0,182.0,1233.84,1555.65,False,True,posted_team_table
2019,KIPP DC College Prep,9,265,F,5,5,1.5974703492754552,2.758100115584642,1.160629766309187,1810.09,2075.43,KIPP DC College Prep,charter,0,700,KIPP DC College Prep;Kipp Dc: College Prep;Kipp Dc: Col;KIPP DC,static schools.csv fallback,6.551080335043404,,,,,,,,,,False,False,posted_team_table
2023,KIPP DC College Prep,10,283,F,5,5,-0.15342551144839991,3.574132650011941,3.727558161460341,1431.13,2459.1,KIPP DC College Prep,charter,0,700,KIPP DC College Prep;Kipp Dc: College Prep;Kipp Dc: Col;KIPP DC,static schools.csv fallback,6.551080335043404,2019.0,4.0,1.5974703492754552,2.758100115584642,1.160629766309187,9.0,265.0,1810.09,2075.43,False,False,posted_team_table
2023,Maret,6,176,F,5,5,-0.9848983038673003,1.0559268260990367,2.040825129966337,1201.83,1764.64,Maret,private,0,320,Maret;Maret School,static schools.csv fallback,5.768320995793772,,,,,,,,,,False,False,posted_team_table
2024,Maret,7,179,F,8,7,-0.8358938841736092,1.0334301123009193,1.8693239964745285,1147.19,1466.66,Maret,private,0,320,Maret;Maret School,static schools.csv fallback,5.768320995793772,2023.0,1.0,-0.9848983038673003,1.0559268260990367,2.040825129966337,6.0,176.0,1201.83,1764.64,False,True,posted_team_table
2024,McKinley Technology,9,221,F,5,5,-0.3375947276338071,1.502589651654622,1.8401843792884292,1232.35,1546.84,McKinley Technology,public,0,723,McKinley Technology;McKinley Tech;McKinley Tec;McKinley Tech High School;McKinley Technology High,DCPS audit SY2024-25 sheet=SY 2024-25,6.583409222158765,,,,,,,,,,False,False,posted_team_table
2018,National Cathedral,3,53,F,7,7,-1.2503697361168804,-0.5048410414957127,0.7455286946211677,1198.0,1319.0,National Cathedral,private,0,490,National Cathedral;National Cat,static schools.csv fallback,6.194405391104672,,,,,,,,,,False,False,posted_team_table
2019,National Cathedral,3,78,F,6,6,-0.9021221733648735,-0.4784008894937239,0.42372128387114966,1238.64,1335.51,National Cathedral,private,0,490,National Cathedral;National Cat,static schools.csv fallback,6.194405391104672,2018.0,1.0,-1.2503697361168804,-0.5048410414957127,0.7455286946211677,3.0,53.0,1198.0,1319.0,True,False,posted_team_table
2021,National Cathedral,6,120,F,5,5,-0.30427122733025985,0.7015883894192929,1.0058596167495528,1335.8,1513.27,National Cathedral,private,0,490,National Cathedral;National Cat,static schools.csv fallback,6.194405391104672,2019.0,2.0,-0.9021221733648735,-0.4784008894937239,0.42372128387114966,3.0,78.0,1238.64,1335.51,True,False,posted_team_table
2023,National Cathedral,3,74,F,7,7,-1.2018499705503474,-0.44583705083200287,0.7560129197183445,1142.0,1350.49,National Cathedral,private,0,490,National Cathedral;National Cat,static schools.csv fallback,6.194405391104672,2021.0,2.0,-0.30427122733025985,0.7015883894192929,1.0058596167495528,6.0,120.0,1335.8,1513.27,True,False,posted_team_table
2024,National Cathedral,2,66,F,7,7,-0.9207966643684488,-0.3585424845667857,0.562254179801663,1132.68,1228.77,National Cathedral,private,0,490,National Cathedral;National Cat,static schools.csv fallback,6.194405391104672,2023.0,1.0,-1.2018499705503474,-0.44583705083200287,0.7560129197183445,3.0,74.0,1142.0,1350.49,False,True,posted_team_table
2023,School Without Walls,8,222,F,4,4,-0.3684915878477243,,,1371.82,,School Without Walls,public,0,599,School Without Walls;School Without Walls High;School Without Walls (DC);SWW;School Witho;School Without Walls H,DCPS audit SY2023-24 sheet=SY 2023-24,6.395261598115449,,,,,,,,,,False,False,posted_team_table
2018,Sidwell Friends,6,126,F,7,7,-0.8868474800619309,0.3454313540226438,1.2322788340845747,1257.0,1457.0,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,static schools.csv fallback,6.152732694704104,,,,,,,,,,False,False,posted_team_table
2019,Sidwell Friends,6,134,F,4,4,-0.8739090807565444,,,1245.09,,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,static schools.csv fallback,6.152732694704104,2018.0,1.0,-0.8868474800619309,0.3454313540226438,1.2322788340845747,6.0,126.0,1257.0,1457.0,False,False,posted_team_table
2021,Sidwell Friends,4,101,F,5,5,-0.48671682975978686,0.1654737720285221,0.652190601788309,1303.61,1418.68,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,static schools.csv fallback,6.152732694704104,2019.0,2.0,-0.8739090807565444,,,6.0,134.0,1245.09,,False,False,posted_team_table
2023,Sidwell Friends,5,117,F,6,6,-0.9542937231084012,-0.3440151755109272,0.610278547597474,1210.27,1378.57,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,static schools.csv fallback,6.152732694704104,2021.0,2.0,-0.48671682975978686,0.1654737720285221,0.652190601788309,4.0,101.0,1303.61,1418.68,True,False,posted_team_table
2024,Sidwell Friends,5,133,F,10,7,-0.6944087549447182,-0.3084551104477077,0.38595364449701053,1171.37,1237.33,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,static schools.csv fallback,6.152732694704104,2023.0,1.0,-0.9542937231084012,-0.3440151755109272,0.610278547597474,5.0,117.0,1210.27,1378.57,False,True,posted_team_table
2024,St. Albans,4,54,F,16,7,-1.2458379765547571,-1.0195670937060712,0.2262708828486859,1077.13,1115.8,St. Albans,private,0,375,St Albans;St. Albans;St. Albans School;St Albans School,static schools.csv fallback,5.926926025970411,,,,,,,,,,False,False,reconstructed_from_individuals
2018,St. John's College,2,49,F,6,6,-0.929977239254891,-0.4370657056210611,0.49291153363382983,1250.0,1330.0,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,static schools.csv fallback,7.003065458786462,,,,,,,,,,False,False,posted_team_table
2019,St. John's College,1,41,F,4,4,-1.233549464362263,,,1162.87,,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,static schools.csv fallback,7.003065458786462,2018.0,1.0,-0.929977239254891,-0.4370657056210611,0.49291153363382983,2.0,49.0,1250.0,1330.0,False,False,posted_team_table
2021,St. John's College,1,24,F,6,6,-0.9150304108594861,-0.45378707051419565,0.46124334034529046,1228.04,1309.42,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,static schools.csv fallback,7.003065458786462,2019.0,2.0,-1.233549464362263,,,1.0,41.0,1162.87,,False,False,posted_team_table
2023,St. John's College,1,44,F,6,6,-1.055317848694055,-0.7850619951442053,0.2702558535498498,1182.41,1256.94,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,static schools.csv fallback,7.003065458786462,2021.0,2.0,-0.9150304108594861,-0.45378707051419565,0.46124334034529046,1.0,24.0,1228.04,1309.42,True,False,posted_team_table
2024,St. John's College,3,72,F,14,7,-1.3823494763442554,-0.8950508178586428,0.4872986584856126,1053.8,1137.08,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,static schools.csv fallback,7.003065458786462,2023.0,1.0,-1.055317848694055,-0.7850619951442053,0.2702558535498498,1.0,44.0,1182.41,1256.94,False,True,posted_team_table
2019,Washington International,7,167,F,4,4,-0.5287907851290665,,,1323.99,,Washington International,private,0,450,Washington International;Washington I;Washington International School,static schools.csv fallback,6.1092475827643655,,,,,,,,,,False,False,posted_team_table
2023,Washington Latin,9,232,F,4,4,-0.4638589425822076,,,1345.52,,Washington Latin,charter,0,580,Washington Latin PCS;Washington L;Washington Latin Public C;Washington Latin;Latin HS;Washington Latin Public Charter,static schools.csv fallback,6.363028103540465,,,,,,,,,,False,False,posted_team_table
2024,Washington Latin,12,259,F,5,5,0.02600684102968986,1.2214918183975516,1.1954849773678617,1294.49,1498.8,Washington Latin,charter,0,580,Washington Latin PCS;Washington L;Washington Latin Public C;Washington Latin;Latin HS;Washington Latin Public Charter,static schools.csv fallback,6.363028103540465,2023.0,1.0,-0.4638589425822076,,,9.0,232.0,1345.52,,False,False,reconstructed_from_individuals
