season,school,state_place,state_score,sex,n_finishers_raw,n_finishers,star_z,depth_z,pack_gap,star_time,depth_time,canonical,sector,wcac,enrollment_9_12,aliases,log_enrollment,lag_star_z,lag_depth_z,lag_pack_gap,lag_state_place,lag_state_score,fit_set,holdout,score_source
2024,Edmund Burke,18,305,,6,6,-0.7496748564960227,0.5624998730204002,1.312174729516423,1154.94,1506.78,Edmund Burke,private,0,300,Edmund Burke;Edmund Burke School,5.703782474656201,-0.3794142660225082,0.72372890272148,1.1031431687439883,8.0,255.0,True,False,reconstructed_from_individuals
2019,Field,9,236,M,3,3,-0.8958395158101612,,,1050.93,,Field,private,0,340,Field;The Field School;Field School,5.8289456176102075,,,,,,False,False,posted_team_table
2021,Field,10,270,M,4,4,0.02369048769921802,,,1235.32,,Field,private,0,340,Field;The Field School;Field School,5.8289456176102075,-0.8958395158101612,,,9.0,236.0,False,False,posted_team_table
2022,Field,11,313,,5,5,-0.2263976329386647,2.095184958314813,2.3215825912534775,1197.6,1523.8,Field,private,0,340,Field;The Field School;Field School,5.8289456176102075,0.02369048769921802,,,10.0,270.0,False,False,reconstructed_from_individuals
2024,Field,12,302,M,8,7,-0.9916425021617392,-0.037943883949086384,0.9536986182126528,1090.06,1345.78,Field,private,0,340,Field;The Field School;Field School,5.8289456176102075,-0.2263976329386647,2.095184958314813,2.3215825912534775,11.0,313.0,True,False,posted_team_table
2025,Field,12,325,M,5,5,-0.6732347362059486,1.417499966781995,2.0907347029879437,1057.66,1408.42,Field,private,0,340,Field;The Field School;Field School,5.8289456176102075,-0.9916425021617392,-0.037943883949086384,0.9536986182126528,12.0,302.0,False,True,posted_team_table
2019,Georgetown Day,6,144,M,6,6,-0.8059007144668862,-0.04394913663518807,0.7619515778316981,1061.78,1153.7,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,6.194405391104672,,,,,,False,False,posted_team_table
2021,Georgetown Day,3,65,M,6,6,-0.748474788821085,-0.6757164200882775,0.0727583687328075,1031.98,1051.14,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,6.194405391104672,-0.8059007144668862,-0.04394913663518807,0.7619515778316981,6.0,144.0,True,False,posted_team_table
2022,Georgetown Day,4,86,,7,7,-1.3060545277674571,-0.6712134267870471,0.63484110098041,1045.9,1135.1,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,6.194405391104672,-0.748474788821085,-0.6757164200882775,0.0727583687328075,3.0,65.0,True,False,reconstructed_from_individuals
2023,Georgetown Day,4,115,M,7,7,-0.8115439028183142,-0.5329522974620586,0.2785916053562556,1041.96,1093.53,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,6.194405391104672,-1.3060545277674571,-0.6712134267870471,0.63484110098041,4.0,86.0,True,False,posted_team_table
2024,Georgetown Day,4,108,M,47,7,-1.370220426198836,-1.046167270651763,0.3240531555470729,988.55,1075.44,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,6.194405391104672,-0.8115439028183142,-0.5329522974620586,0.2785916053562556,4.0,115.0,True,False,posted_team_table
2025,Georgetown Day,4,133,M,7,7,-1.269352815935178,-0.3958291224613403,0.8735236934738376,957.65,1104.2,Georgetown Day,private,0,490,Georgetown Day;Georgetown D;Georgetown Day School,6.194405391104672,-1.370220426198836,-1.046167270651763,0.3240531555470729,4.0,108.0,False,True,posted_team_table
2024,Georgetown Visitation,5,36,,26,7,-1.0244617882569655,-0.6231714264562408,0.40129036180072475,1081.26,1188.86,Georgetown Visitation,private,0,490,Georgetown V;Georgetown Visitation,6.194405391104672,,,,,,False,False,reconstructed_from_individuals
2019,Gonzaga College,1,59,M,6,6,-1.3593766375720038,-0.4644648409802928,0.894911796591711,995.01,1102.97,Gonzaga College,private,1,960,Gonzaga College;Gonzaga Coll;Gonzaga College High;Gonzaga College High Scho;Gonzaga College High School;Gonzaga,6.866933284461882,,,,,,False,False,posted_team_table
2021,Gonzaga College,4,87,M,6,6,-0.7220068436192234,-0.5856418633898343,0.13636498022938914,1038.95,1074.86,Gonzaga College,private,1,960,Gonzaga College;Gonzaga Coll;Gonzaga College High;Gonzaga College High Scho;Gonzaga College High School;Gonzaga,6.866933284461882,-1.3593766375720038,-0.4644648409802928,0.894911796591711,1.0,59.0,True,False,posted_team_table
2022,Gonzaga College,2,54,,7,7,-1.5672503619152276,-0.8519865654070287,0.7152637965081989,1009.2,1109.7,Gonzaga College,private,1,960,Gonzaga College;Gonzaga Coll;Gonzaga College High;Gonzaga College High Scho;Gonzaga College High School;Gonzaga,6.866933284461882,-0.7220068436192234,-0.5856418633898343,0.13636498022938914,4.0,87.0,True,False,reconstructed_from_individuals
